rating,easy,medium,hard,acceptance,weekly
2666.0,273.0,192.0,223.0,65.0,0.0
2665.0,178.0,150.0,222.0,70.0,5.0
2665.0,142.0,177.0,184.0,80.0,0.0
2665.0,86.0,91.0,80.0,10.0,0.0
2665.0,209.0,204.0,113.0,80.0,0.0
2664.0,149.0,191.0,164.0,40.0,0.0
2662.0,40.0,33.0,46.0,70.0,0.0
2660.0,46.0,177.0,196.0,70.0,0.0
2660.0,131.0,125.0,110.0,65.0,0.0
2659.0,23.0,40.0,114.0,55.0,0.0
2659.0,60.0,79.0,93.0,35.0,0.0
2659.0,55.0,58.0,245.0,15.0,0.0
2659.0,93.0,74.0,192.0,55.0,6.0
2658.0,45.0,66.0,425.0,45.0,1.0
2656.0,55.0,81.0,556.0,80.0,0.0
2655.0,80.0,130.0,67.0,30.0,0.0
2655.0,115.0,164.0,96.0,15.0,0.0
2655.0,90.0,109.0,240.0,40.0,0.0
2654.0,27.0,24.0,13.0,70.0,0.0
2654.0,57.0,70.0,136.0,30.0,2.0
2654.0,42.0,45.0,22.0,50.0,0.0
2653.0,59.0,52.0,36.0,45.0,0.0
2653.0,99.0,115.0,212.0,50.0,5.0
2653.0,82.0,50.0,60.0,45.0,0.0
2653.0,157.0,128.0,106.0,70.0,0.0
2652.0,127.0,108.0,142.0,50.0,0.0
2650.0,76.0,53.0,41.0,55.0,0.0
2649.0,129.0,117.0,126.0,75.0,0.0
2647.0,62.0,92.0,201.0,45.0,0.0
2647.0,114.0,130.0,149.0,60.0,1.0
2646.0,44.0,61.0,174.0,45.0,0.0
2645.0,113.0,98.0,129.0,40.0,0.0
2644.0,64.0,50.0,102.0,70.0,11.0
2644.0,23.0,33.0,153.0,60.0,0.0
2644.0,232.0,190.0,40.0,80.0,0.0
2644.0,85.0,82.0,69.0,45.0,0.0
2643.0,47.0,62.0,36.0,45.0,3.0
2642.0,91.0,89.0,78.0,20.0,0.0
2641.0,132.0,80.0,191.0,30.0,0.0
2641.0,59.0,63.0,113.0,45.0,1.0
2640.0,22.0,50.0,52.0,50.0,0.0
2639.0,65.0,65.0,104.0,45.0,1.0
2638.0,80.0,55.0,54.0,75.0,0.0
2637.0,45.0,46.0,195.0,45.0,0.0
2637.0,58.0,69.0,222.0,70.0,0.0
2637.0,36.0,28.0,31.0,65.0,0.0
2637.0,4.0,13.0,11.0,15.0,0.0
2636.0,90.0,66.0,62.0,85.0,0.0
2635.0,137.0,91.0,112.0,30.0,0.0
2635.0,213.0,166.0,204.0,70.0,0.0
2635.0,79.0,80.0,76.0,85.0,0.0
2634.0,89.0,71.0,57.0,35.0,0.0
2634.0,54.0,44.0,21.0,45.0,0.0
2633.0,74.0,99.0,210.0,50.0,0.0
2633.0,20.0,27.0,185.0,30.0,1.0
2633.0,65.0,98.0,72.0,80.0,0.0
2633.0,138.0,92.0,155.0,10.0,0.0
