ranking,easy,medium,hard,acceptance,weekly
112612.0,92.0,334.0,118.0,35.0,30.0
30861.0,240.0,524.0,106.0,65.0,19.0
444650.0,134.0,104.0,7.0,95.0,9.0
1383047.0,34.0,41.0,4.0,60.0,7.0
1080205.0,72.0,32.0,2.0,60.0,4.0
142144.0,123.0,287.0,82.0,75.0,50.0
82545.0,180.0,365.0,76.0,90.0,77.0
513979.0,152.0,58.0,9.0,35.0,0.0
66879.0,200.0,400.0,74.0,50.0,17.0
62555.0,218.0,416.0,54.0,80.0,23.0
32738.0,206.0,566.0,84.0,60.0,58.0
643.0,640.0,1120.0,579.0,80.0,260.0
1308044.0,30.0,42.0,11.0,90.0,0.0
211200.0,101.0,235.0,64.0,85.0,54.0
2532428.0,12.0,15.0,2.0,85.0,0.0
38886.0,255.0,478.0,77.0,50.0,20.0
257456.0,223.0,127.0,5.0,70.0,7.0
677.0,835.0,1316.0,152.0,90.0,58.0
241876.0,76.0,252.0,42.0,80.0,18.0
89662.0,195.0,367.0,46.0,50.0,56.0
39675.0,167.0,402.0,234.0,80.0,29.0
2490407.0,11.0,19.0,0.0,40.0,0.0
472221.0,66.0,144.0,24.0,55.0,11.0
3968051.0,7.0,4.0,0.0,30.0,0.0
5000001.0,2.0,4.0,0.0,62.5,8.0
260161.0,91.0,214.0,48.0,60.0,58.0
2169793.0,20.0,18.0,1.0,40.0,0.0
254923.0,125.0,209.0,24.0,55.0,8.0
2094176.0,27.0,14.0,0.0,85.0,0.0
81063.0,181.0,356.0,86.0,50.0,55.0
189415.0,130.0,261.0,33.0,70.0,58.0
50913.0,104.0,399.0,239.0,70.0,34.0
3716.0,424.0,730.0,376.0,80.0,30.0
598252.0,58.0,113.0,21.0,30.0,33.0
8033.0,339.0,690.0,230.0,90.0,4.0
56162.0,234.0,391.0,92.0,85.0,18.0
533908.0,56.0,131.0,25.0,40.0,21.0
198568.0,117.0,251.0,45.0,85.0,7.0
354.0,263.0,1694.0,632.0,45.0,6.0
109978.0,117.0,420.0,14.0,50.0,22.0
44061.0,350.0,407.0,21.0,75.0,13.0
315032.0,83.0,198.0,32.0,75.0,97.0
74531.0,233.0,352.0,61.0,85.0,31.0
4610367.0,3.0,4.0,1.0,50.0,6.0
77066.0,151.0,402.0,83.0,70.0,45.0
98641.0,176.0,380.0,19.0,70.0,1.0
521111.0,35.0,137.0,46.0,80.0,23.0
71275.0,143.0,404.0,109.0,80.0,24.0
16169.0,229.0,584.0,235.0,100.0,6.0
1372.0,470.0,999.0,483.0,90.0,5.0
379077.0,68.0,135.0,72.0,75.0,0.0
8630.0,311.0,604.0,319.0,55.0,0.0
293.0,659.0,1364.0,638.0,90.0,16.0
230.0,686.0,1432.0,626.0,90.0,4.0
590899.0,48.0,89.0,58.0,60.0,0.0
259280.0,72.0,199.0,82.0,55.0,0.0
319651.0,63.0,147.0,100.0,90.0,8.0
136227.0,141.0,267.0,91.0,85.0,0.0
668265.0,41.0,88.0,45.0,70.0,0.0
4916.0,366.0,726.0,326.0,40.0,8.0
111340.0,137.0,276.0,133.0,50.0,0.0
43.0,842.0,1757.0,774.0,70.0,13.0
1412868.0,20.0,42.0,14.0,100.0,7.0
9026.0,307.0,655.0,258.0,45.0,0.0
6603.0,342.0,656.0,325.0,30.0,7.0
863.0,538.0,1307.0,334.0,45.0,0.0
1334306.0,4.0,14.0,63.0,45.0,0.0
298328.0,87.0,162.0,75.0,65.0,0.0
589.0,534.0,1285.0,557.0,75.0,19.0
181369.0,91.0,268.0,74.0,65.0,0.0
80633.0,213.0,334.0,77.0,85.0,0.0
61613.0,221.0,343.0,127.0,80.0,0.0
46120.0,189.0,367.0,209.0,75.0,4.0
208858.0,73.0,195.0,133.0,75.0,0.0
5000001.0,5.0,0.0,0.0,38.89,0.0
763765.0,59.0,75.0,19.0,65.0,0.0
810290.0,25.0,70.0,50.0,70.0,0.0
82.0,769.0,1631.0,710.0,95.0,11.0
31208.0,178.0,428.0,260.0,45.0,1.0
40166.0,260.0,397.0,143.0,75.0,0.0
1107.0,491.0,1160.0,411.0,95.0,11.0
1147.0,368.0,1073.0,599.0,65.0,8.0
283.0,644.0,1432.0,596.0,65.0,4.0
3228.0,404.0,838.0,342.0,80.0,16.0
744.0,562.0,1186.0,506.0,100.0,16.0
75323.0,162.0,341.0,139.0,45.0,2.0
2050408.0,11.0,22.0,10.0,70.0,0.0
127142.0,21.0,246.0,249.0,80.0,8.0
443547.0,55.0,140.0,50.0,45.0,0.0
4870.0,352.0,740.0,336.0,90.0,0.0
686.0,472.0,1218.0,607.0,90.0,1.0
81149.0,190.0,315.0,118.0,80.0,0.0
2267.0,510.0,923.0,287.0,90.0,11.0
541.0,629.0,1294.0,489.0,80.0,7.0
1839.0,485.0,1020.0,303.0,95.0,11.0
327.0,734.0,1352.0,536.0,85.0,0.0
32633.0,270.0,434.0,150.0,80.0,28.0
217708.0,11.0,196.0,186.0,80.0,3.0
65323.0,161.0,390.0,125.0,90.0,0.0
