rating,easy,medium,hard,acceptance,weekly,score
2570,123,130,218,35,4,3607
2570,16,24,31,50,0,2727
2570,37,30,21,90,0,2730
2570,237,152,93,90,16,3390
2570,75,83,210,50,0,3441
2569,113,105,45,75,0,3027
2569,145,108,153,65,15,3389
2569,71,76,121,30,0,3155
2568,71,69,229,40,0,3464
2567,102,92,73,75,0,3072
2567,60,83,55,70,0,2958
2567,572,165,53,65,0,3628
2566,35,29,51,30,0,2812
2566,11,10,59,30,0,2774
2566,137,106,82,65,0,3161
2566,33,40,235,55,0,3384
2565,157,112,153,60,0,3405
2564,30,24,22,30,0,2708
2564,137,88,59,90,0,3054
2564,85,77,78,60,0,3037
2563,53,38,70,15,0,2902
2563,71,92,149,90,2,3265
2563,139,139,77,60,0,3211
2563,172,135,99,85,1,3302
2563,47,40,25,45,0,2765
2562,59,62,82,10,0,2991
2561,62,115,68,30,0,3057
2561,264,168,103,45,7,3470
2561,39,64,83,85,0,2977
2560,138,118,129,10,2,3321
2560,43,34,31,30,0,2764
2559,51,61,279,60,8,3569
2559,89,72,172,60,0,3308
2558,124,123,162,45,12,3414
2558,121,141,154,40,19,3423
2558,51,52,32,70,0,2809
2556,62,56,45,15,0,2865
2556,113,95,61,35,0,3042
2556,68,63,171,50,0,3263
2556,16,15,26,80,0,2680
2555,49,94,170,60,0,3302
2555,91,208,321,70,0,4025
2554,86,73,93,75,0,3065
2554,78,82,185,50,0,3351
2554,91,112,222,25,44,3535
2553,45,45,282,30,0,3534
2551,99,99,75,30,0,3073
2550,93,68,93,65,0,3058
2550,149,180,97,50,0,3350
2550,75,148,257,15,0,3692
2549,62,54,45,40,0,2854
2548,152,184,159,25,5,3545
2547,52,37,16,75,0,2721
2545,104,79,53,30,0,2966
2545,184,132,199,50,0,3590
2545,219,133,112,50,0,3366
2544,235,192,170,95,7,3673
2544,42,31,217,70,7,3299
2543,17,12,47,50,1,2725
2541,87,83,179,65,2,3331
2540,164,154,95,60,0,3297
2540,71,68,88,60,0,3011
2539,71,59,286,45,0,3586
2539,280,195,156,95,4,3677
2539,88,124,73,55,0,3094
2538,60,80,185,70,0,3313
2537,94,52,93,40,0,3014
2537,88,76,68,50,0,2981
2536,242,184,105,40,0,3461
2535,113,105,258,75,0,3632
2535,85,73,138,60,0,3180
2535,89,71,36,60,0,2874
2535,149,100,183,40,0,3433
2535,23,44,152,55,0,3102
2534,131,67,23,40,0,2868
2534,67,70,191,60,3,3314
2533,14,17,22,30,0,2647
2533,12,13,15,65,0,2616
2533,121,158,300,80,9,3870
2533,105,56,30,60,0,2840
2532,65,54,54,45,8,2867
2532,64,73,221,40,2,3405
2532,237,121,151,70,0,3464
2531,435,80,77,80,0,3357
2531,43,87,262,30,0,3534
2531,26,52,127,50,2,3042
2531,28,33,51,60,0,2778
2531,21,16,124,15,1,2956
2531,25,60,190,50,0,3246
2531,87,96,135,40,0,3215
2530,64,67,96,50,0,3016
2530,15,24,53,45,0,2752
2528,84,49,10,50,0,2740
2527,42,39,74,20,0,2869
2527,142,108,139,15,0,3302
2527,73,72,52,60,0,2900
2527,121,87,80,10,10,3062
2526,306,171,101,95,0,3477
2525,12,15,10,50,0,2597
2525,55,72,155,60,0,3189
2525,72,119,153,60,0,3294
2525,144,112,99,35,11,3190
2525,106,101,102,45,0,3139
2523,39,20,8,70,0,2626
2523,99,85,90,55,0,3062
2523,55,49,31,60,0,2769
2523,43,84,69,35,0,2941
2523,56,53,25,70,0,2760
2522,61,67,108,70,5,3041
2521,79,36,20,65,0,2732
2521,48,55,80,50,2,2919
2521,36,53,35,40,0,2768
2521,122,105,110,45,1,3183
2521,59,83,118,55,7,3100
2520,148,104,28,50,3,2960
2519,286,168,106,75,0,3459
2518,61,56,53,90,0,2850
2517,167,128,108,80,1,3264
2517,113,120,165,70,5,3365
2516,181,124,87,45,0,3206
2516,91,100,199,45,0,3404
2515,77,87,80,55,7,3006
2515,80,89,118,70,0,3127
2515,114,150,101,35,0,3232
2514,106,124,80,70,0,3108
2513,170,131,142,90,0,3371
2513,95,93,141,40,0,3217
2513,189,133,177,65,0,3499
2512,58,65,99,10,16,2997
2512,127,227,154,60,0,3555
2511,68,104,94,75,3,3069
2510,156,138,87,50,0,3203
2509,15,24,28,55,0,2656
2508,61,70,184,45,0,3261
2508,29,26,29,40,0,2676
2508,39,43,232,40,0,3329
2508,14,71,272,75,0,3480
2508,104,111,153,40,4,3293
2507,59,60,59,50,0,2863
2507,84,105,185,85,13,3356
